entity_id	original_name	unique_id	friendly_name	modbus_register
sensor.eu08l_ambient_error_number	EU08L Ambient Error Number	ambient_error_number	EU08L Ambient Error Number	0
sensor.eu08l_ambient_operating_state	EU08L Ambient Operating State	ambient_operating_state	EU08L Ambient Operating State	1
sensor.eu08l_ambient_temperature	EU08L Ambient Temperature	ambient_temperature	EU08L Ambient Temperature	2
sensor.eu08l_ambient_temperature_1h	EU08L Ambient Temperature 1h	ambient_temperature_1h	EU08L Ambient Temperature 1h	3
sensor.eu08l_ambient_temperature_calculated	EU08L Ambient Temperature Calculated	ambient_temperature_calculated	EU08L Ambient Temperature Calculated	4
sensor.eu08l_hp1_error_state	EU08L HP1 Error State	hp1_error_state	EU08L HP1 Error State	1000
sensor.eu08l_hp1_error_number	EU08L HP1 Error Number	hp1_error_number	EU08L HP1 Error Number	1001
sensor.eu08l_hp1_state	EU08L HP1 State	hp1_state	EU08L HP1 State	1002
sensor.eu08l_hp1_operating_state	EU08L HP1 Operating State	hp1_operating_state	EU08L HP1 Operating State	1003
sensor.eu08l_hp1_flow_line_temperature	EU08L HP1 Flow Line Temperature	hp1_flow_line_temperature	EU08L HP1 Flow Line Temperature	1004
sensor.eu08l_hp1_return_line_temperature	EU08L HP1 Return Line Temperature	hp1_return_line_temperature	EU08L HP1 Return Line Temperature	1005
sensor.eu08l_hp1_volume_flow_heat_sink	EU08L HP1 Volume Flow Heat Sink	hp1_volume_flow_heat_sink	EU08L HP1 Volume Flow Heat Sink	1006
sensor.eu08l_hp1_energy_source_inlet_temperature	EU08L HP1 Energy Source Inlet Temperature	hp1_energy_source_inlet_temperature	EU08L HP1 Energy Source Inlet Temperature	1007
sensor.eu08l_hp1_energy_source_outlet_temperature	EU08L HP1 Energy Source Outlet Temperature	hp1_energy_source_outlet_temperature	EU08L HP1 Energy Source Outlet Temperature	1008
sensor.eu08l_hp1_volume_flow_energy_source	EU08L HP1 Volume Flow Energy Source	hp1_volume_flow_energy_source	EU08L HP1 Volume Flow Energy Source	1009
sensor.eu08l_hp1_compressor_unit_rating	EU08L HP1 Compressor Unit Rating	hp1_compressor_unit_rating	EU08L HP1 Compressor Unit Rating	1010
sensor.eu08l_hp1_actual_heating_capacity	EU08L HP1 Actual Heating Capacity	hp1_actual_heating_capacity	EU08L HP1 Actual Heating Capacity	1011
